44,Saddiq Bey,Det,F,21.93,36,23.2,48.3,17.7,6.8,62,0.855,88,0.432,201,0.388,0.536,0.574,10.1,3.9,9.4,1.1,7.5,0.58,0.08,0.64,6.1,114.1,109.5
45,Tyler Bey,Dal,F,23.09,5,2.7,5.7,21.8,0,4,0.5,5,0.4,0,0,0.4,0.444,1.2,0.8,15.9,0,0,0,0.2,0,0,,
46,Khem Birch,Orl,C,28.46,38,20,41.7,12.1,9.8,69,0.739,147,0.497,16,0.25,0.485,0.54,5.5,5.3,13.8,1,7.3,0.58,0.68,0.55,6.2,121.1,107.6
47,Goga Bitadze,Ind,C-F,21.65,18,8.9,18.6,18,12,15,0.8,34,0.647,18,0.167,0.51,0.555,3.6,1.9,12.3,0.3,4.4,0.17,0.83,0.44,5.7,109.1,98.1
48,Bismack Biyombo,Cha,C,28.54,35,22,45.8,11.4,16.5,62,0.484,144,0.556,1,0,0.552,0.551,5.4,5.5,13.5,1.4,8.7,0.31,1.14,0.97,6.3,113.5,104.8
49,Nemanja Bjelica,Sac,F,32.85,21,17.7,37,19.3,14.2,40,0.8,82,0.561,46,0.326,0.535,0.58,8,4,12.6,2.1,16.6,0.33,0.1,1.14,9.2,114.9,110.6
50,Eric Bledsoe,Nor,G,31.26,38,29.1,60.6,18.3,12.6,82,0.683,195,0.477,185,0.373,0.517,0.54,11.8,3.4,6.5,3.9,17.8,0.74,0.29,1.58,7.4,109.6,114
51,Keljin Blevins,Por,G,25.31,9,5.2,10.9,12.8,21.4,0,0,7,0.286,4,0,0.182,0.182,0.4,0.2,2.3,0.4,10.6,0.22,0,0.33,2.4,47.3,113.3
52,Bojan Bogdanovic,Uta,F,31.91,38,30.5,63.6,20.8,10,120,0.858,199,0.462,255,0.396,0.536,0.582,15.5,3.8,6.7,1.9,9.2,0.5,0.05,1.47,6.3,114.3,108.2
53,Bogdan Bogdanovic,Atl,G,28.57,14,22.3,46.5,19.2,11.5,13,0.923,37,0.459,81,0.309,0.462,0.489,8.6,3.5,8.5,2.2,14.5,0.43,0.14,1.14,7.3,100.5,107.8
54,Bol Bol,Den,C-F,21.33,16,5.4,11.2,16.7,24.3,2,0.5,13,0.462,11,0.545,0.625,0.623,1.9,0.8,7.9,0.3,6.2,0.13,0.31,0.5,5.7,92.1,105.1
55,Marques Bolden,Cle,C,22.91,6,4.8,9.9,12.9,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1,11.8,0,0,0.33,0.33,0.33,0,99.4,116.1
56,Jordan Bone,Orl,G,23.36,14,14,29.2,12.5,5.3,0,0,22,0.591,32,0.313,0.519,0.519,4,1.7,6.4,1.3,13.4,0.14,0,0.21,5.9,112.8,111.9
57,Isaac Bonga,Was,G,21.35,24,11.9,24.8,9,17.8,4,0.75,18,0.389,31,0.355,0.48,0.493,2.1,2,8.6,0.5,5.7,0.25,0.21,0.46,4.3,95.4,106
58,Devin Booker,Pho,G,24.37,33,34,70.9,32.1,14.1,178,0.843,429,0.555,185,0.362,0.551,0.597,25.1,3.7,6.1,4.6,22.3,0.85,0.27,3.45,8.9,108.6,105.4
59,Chris Boucher,Tor,F-C,28.17,39,24.1,50.2,20.5,6.5,133,0.767,211,0.611,148,0.432,0.627,0.661,14.2,6.5,14.8,1,6.9,0.59,1.92,0.74,7.5,130.6,103
60,Brian Bowen II,Ind,F-G,22.45,1,5.1,10.6,20.7,0,1,1,2,0.5,0,0,0.5,0.615,3,1,11,0,0,0,0,0,0,127.4,116.2
61,Avery Bradley,Mia,G,30.3,10,21.1,43.9,16.8,11.4,9,0.778,28,0.536,38,0.421,0.591,0.607,8.5,1.8,4.8,1.4,10.3,0.7,0.1,0.9,5.3,109.5,100.7
62,Tony Bradley,Phi,C-F,23.18,15,11.9,24.8,13.3,1.8,5,0.6,52,0.654,1,0,0.642,0.643,4.7,4.4,20.3,0.7,9,0.2,0.67,0.07,8.2,145.3,101
63,Jarrell Brantley,Uta,F,24.77,10,2.8,5.8,17,9.1,0,0,3,0.333,7,0.429,0.55,0.55,1.1,0.7,13.4,0,0,0.1,0.1,0.1,0,,
64,Ignas Brazdeikis,Nyk,F,22.18,4,1.8,3.7,17.9,34.7,2,1,1,0,0,0,0,0.532,0.5,0.5,15.1,0.3,17.3,0,0,0.25,9.4,,
65,Miles Bridges,Cha,F,22.98,37,26.4,55,15.6,17.8,44,0.932,154,0.584,123,0.374,0.574,0.606,9.7,5.8,11.9,2,10.8,0.7,0.68,1.73,7.3,109.9,106
